sample_1.wav	v této humanitární pomoci musí evropská unie pokračovat.
sample_2.wav	to je trochu rozdíl oproti tomu co zde bylo panem komisařem řečeno.
sample_3.wav	jak bychom reagovali kdyby se takto chovala jakákoliv jiná instituce?
sample_4.wav	problém vidím také v tom že se naše firmy nemohou opřít o fungující systém vzdělávání který by vybavil mladé absolventy dovednostmi odpovídajícími potřebám trhu práce.
sample_5.wav	dohodneme li se na tom že by se mělo zrušit střídání zimního a letního času pak se velice hlásím k tomu aby byl zrušen zimní čas.
sample_6.wav	na druhou stranu tato úprava si klade za cíl zamezit klamavým praktikám v obecném měřítku zajistit ochranu spotřebitelů a zabránit nekalé hospodářské soutěži.
sample_7.wav	tento výzkum je důležitý i pro rozvoj nových medicínských aplikací které slouží ve prospěch všech evropanů.
sample_8.wav	hlasovala jsem proti závaznému charakteru národních cílů energetické účinnosti.
sample_9.wav	stejně tak bude možné posléze zhodnotit účinnost opatření a intervencí směřujících ke zvýšení bezpečnosti pacientů a snadnějšímu sdílení zkušeností a poznatků mezi členskými státy.
sample_10.wav	každá obchodní válka je nebezpečná a přináší pouze ztráty na obou stranách.
sample_11.wav	zajímavá je angažovanost této země v mezinárodním fondu pro irsko.
sample_12.wav	vidím že i řada romů pochopila že vnější motivace smrdí. proto je potřeba tyto lidi opravdu motivovat k tomu aby oni chtěli studovat vzdělávat se a být součástí naší společnosti.
sample_13.wav	druhá poznámka se týká změny struktury rozpočtu.
sample_14.wav	o jejím významu svědčí i odhalení typu panamských dokumentů.
sample_15.wav	tento fenomén je potřeba efektivně konfrontovat a na základě objektivních faktů tyto dezinformace vyvracet jak na evropské tak na národní úrovni.
sample_16.wav	chce se tam po eu aby přijala opatření proti šíření falešných zpráv.
sample_17.wav	my se tím zabýváme a jak už jsem říkala pracujeme s těmi zeměmi individuálně.
sample_18.wav	a k samotnému projednávání dokumentů souvisejících s energetickou unií.
sample_19.wav	je to opravdu tak závažný fakt že k tomu evropská unie nesmí mlčet a je dobře že zde jasně hájíme principy právního státu a jasně chceme po orgánech malty aby tuto situaci vyšetřily.
sample_20.wav	z mého pohledu se jedná o jasné klamání spotřebitele a z tohoto důvodu je nutné jednat.
